PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2023-02-10,10:48:57.01,"Loeschorn, Josh",1000207036,Right,,,Fastball,Live,,86.50251,-2.016794562,-4.591763496,2246.063006,224.7670843,1:30,4.77658,1.57636,4.99782,-23.02366,16.1958,16.09381,0.94727,-1.42617,77.95224,-6.290207076,-1.599690504,0.4507359605,-9.89296,9.13086,-1.1472,50,4.56418,9.47324,-125.14371,-5.24717,-15.48121,28.37012,-17.88543,5af5733d-3841-4a01-a5c5-dd6a4d17e94b,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,83.62421,Pitching,22420029,,,,,,,,,,,,,,,,,,,,16.60623383,2152.383055,0.9582914857,
2,2023-02-10,10:49:16.39,"Loeschorn, Josh",1000207036,Right,,,Fastball,Live,,85.8385,-1.15759105,-2.272127365,2042.812069,222.4702446,1:30,4.80913,1.64375,4.92262,-21.95024,17.92033,16.4318,1.88471,0.86419,77.08438,-5.240591617,0.7936907824,0.4544620258,-9.34821,9.76088,-1.43567,50,4.67878,4.34796,-124.47741,-3.3066,-14.4121,29.0411,-17.12574,ab6c887f-3771-4df2-862d-409ae052bdf8,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,82.93859,Pitching,22420029,,,,,,,,,,,,,,,,,,,241.8952503,16.81832965,1955.434834,0.9572269836,2:00
3,2023-02-10,10:49:36.88,"Loeschorn, Josh",1000207036,Right,,,Fastball,Live,,86.41684,0.120637968,-2.460936298,2149.420643,228.8971196,1:45,4.75951,1.7483,4.85528,-25.66952,14.24969,16.38801,2.73466,0.78342,76.53455,-4.687065383,0.6138094854,0.454739198,-9.4944,7.42255,-1.51903,50,4.75062,4.78759,-125.17254,-0.66358,-14.60324,32.45516,-20.75749,97d0d416-fbc3-4eb2-a34f-a149af70f35e,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,82.88804,Pitching,22420029,,,,,,,,,,,,,,,,,,,224.707741,15.15253369,2074.692536,0.9652333722,1:30
4,2023-02-10,10:49:58.31,"Loeschorn, Josh",1000207036,Right,,,Fastball,Live,,87.65239,-1.430268215,-3.482443023,2125.299808,228.956815,1:45,4.66994,1.7073,5.17899,-24.09642,14.3393,16.5038,1.31356,-0.19766,77.68888,-5.961980898,-0.3700597184,0.4462095888,-10.03932,8.13142,-1.39558,50,4.51933,7.14535,-126.88183,-4.01491,-15.85464,33.5144,-19.33246,d895972e-73b3-4c98-8a4f-eb8714f04ab5,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,84.4725,Pitching,22420029,,,,,,,,,,,,,,,,,,,239.5820411,18.57978949,2014.531012,0.9478808607,2:00
5,2023-02-10,10:50:26.11,"Loeschorn, Josh",1000207036,Right,,,Fastball,Live,,87.74016,-1.012068691,-3.415355913,2223.658517,233.442387,1:45,4.70917,1.57768,5.23625,-22.93573,14.54054,19.65525,1.84494,0.00211,79.41617,-5.28485097,0.2535394586,0.4406051484,-11.41683,7.98596,-1.27791,50,4.59936,6.90111,-127.27315,-3.06284,-18.56157,28.27058,-19.19042,f7c6d00f-5dfd-4654-842b-c30021f40424,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,85.54698,Pitching,22420029,,,,,,,,,,,,,,,,,,,,21.62862073,2067.096241,0.9295924821,
6,2023-02-10,10:50:48.66,"Loeschorn, Josh",1000207036,Right,,,Fastball,Live,,86.35487,-0.6149703977,-2.378415898,2085.750008,222.5917582,1:30,4.83358,1.47805,5.18954,-24.34319,15.07727,13.89596,2.22602,0.39762,76.66806,-5.194895715,0.2424632986,0.4518894813,-8.23358,8.21569,-1.26763,50,4.75887,4.72087,-125.17862,-2.1829,-12.67925,32.20649,-19.52235,1ff74a12-257b-435d-9175-f706c49d2f3f,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,83.41075,Pitching,22420029,,,,,,,,,,,,,,,,,,,228.5812326,13.63193033,2026.994029,0.9718298075,1:30
7,2023-02-10,10:51:07.03,"Loeschorn, Josh",1000207036,Right,,,Fastball,Live,,86.49918,-1.220568206,-4.272740599,2109.524936,229.0691838,1:45,4.81296,1.52948,5.38215,-23.27606,15.09034,17.45135,1.72596,-1.02827,78.39991,-5.562916924,-1.01375388,0.445807041,-10.53753,8.37203,-1.15929,50,4.68753,8.77318,-125.38513,-3.47196,-16.65531,27.04546,-18.94146,55294e44-872b-401f-b482-9e8f92c18bf9,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,84.54877,Pitching,22420029,,,,,,,,,,,,,,,,,,,204.9196323,9.589536278,2080.047441,0.986026477,12:45
8,2023-02-10,10:51:27.45,"Loeschorn, Josh",1000207036,Right,,,Fastball,Live,,85.77359,0.1282718637,-2.249095053,2168.162768,227.3546511,1:30,4.78137,1.53797,5.15358,-22.01767,17.54949,19.10696,3.06739,1.01221,76.93448,-3.990979177,1.33083411,0.4527295221,-10.82454,9.21885,-1.34223,50,4.777,4.22417,-124.46066,-0.48622,-16.67939,29.0919,-17.96886,31840f1b-2456-45af-989c-f94597a6cf9f,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,83.25598,Pitching,22420029,,,,,,,,,,,,,,,,,,,,9.117461926,2140.769244,0.9873655594,
9,2023-02-10,10:52:01.50,"Loeschorn, Josh",1000207036,Right,,,Fastball,Live,,87.64193,0.7589058303,-2.446320232,2024.326117,231.3681873,1:45,4.64765,1.65219,4.87062,-26.28036,11.84421,14.88267,3.17637,0.57638,78.9984,-4.119814215,0.3195099319,0.4443997753,-8.52787,5.94208,-1.42393,50,4.70075,4.87847,-127.13927,0.70876,-13.7951,28.91525,-22.56186,4b24d1a2-5377-49b2-9ba5-0e9d104e8cd3,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,84.81651,Pitching,22420029,,,,,,,,,,,,,,,,,,,236.9447198,11.89060386,1980.889722,0.9785427881,2:00
10,2023-02-10,10:52:27.18,"Loeschorn, Josh",1000207036,Right,,,Fastball,Live,,87.32078,-1.633503867,-3.062636672,2178.121705,239.9063171,2:00,4.69908,1.75679,5.19361,-27.03072,10.78227,18.62961,0.90754,0.42601,79.41146,-6.647669108,0.409076373,0.4425801615,-10.72665,6.16733,-1.48672,50,4.52759,6.11769,-126.69085,-4.57687,-17.32043,27.45587,-22.21561,836e88e3-021b-40d3-8822-70f409f475df,12445f8d-24c4-4d9b-beef-d4e1fa1d2133,85.16522,Pitching,22420029,,,,,,,,,,,,,,,,,,,242.1088154,16.80433648,2085.110723,0.9572976192,2:00
