PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2023-03-05,10:36:55.45,"Foster, Elijah",1000190024,Right,,,ChangeUp,Live,,85.43226,-1.210111907,-4.341165636,1936.877081,248.7165422,2:15,4.41181,1.72697,6.89698,-30.63836,6.36013,16.38214,0.75311,-0.86938,77.98907,-7.064818831,-1.200704328,0.4377875201,-10.45083,3.91811,-1.45951,50,4.32437,9.01323,-124.15849,-3.40077,-16.22669,26.09183,-26.09051,914b4791-60d0-47f1-8de2-4413d25bef35,479077f3-2a46-4a13-9725-954da1e5d09b,86.09756,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
2,2023-03-05,10:37:13.52,"Foster, Elijah",1000190024,Right,,,Fastball,Live,,92.80552,-0.01345280461,-2.425170439,2548.893248,209.6224868,1:00,4.69099,1.79723,6.76401,-16.70189,15.02714,8.56708,3.28687,0.29535,83.39269,-3.231615779,-0.7739406092,0.4054149939,-5.58838,8.40388,-1.64235,50,4.68368,5.48024,-135.04851,-0.49846,-10.1382,34.25915,-16.92809,45e0cf14-91c9-4450-87d2-e54eb8bb67f8,479077f3-2a46-4a13-9725-954da1e5d09b,92.97248,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
3,2023-03-05,10:37:29.70,"Foster, Elijah",1000190024,Right,,,Slider,Live,,85.11924,-1.514933378,-3.052038219,2256.411258,83.5070533,8:45,4.51212,1.7617,,,,,,,,,,,0.8116,0.25764,-1.47433,50,4.34046,6.69782,-123.43242,-4.66955,1.23562,27.58524,-31.78181,edebc536-9849-440a-915d-80a1dc9fcaa2,479077f3-2a46-4a13-9725-954da1e5d09b,,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
4,2023-03-05,10:38:10.57,"Foster, Elijah",1000190024,Right,,,Fastball,Live,,94.49684,-0.112658878,-2.306440603,2535.889901,216.7863645,1:15,4.63345,1.69813,6.18617,-16.77989,14.56538,10.91861,3.13104,0.47754,84.72656,-3.314428501,-0.2219407135,0.4029557995,-6.74816,8.01343,-1.52991,50,4.61655,5.18212,-137.36321,-0.80885,-12.64923,35.80036,-17.15311,bb6b6463-8477-40ee-b111-cce154cc05b7,479077f3-2a46-4a13-9725-954da1e5d09b,93.53988,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
5,2023-03-05,10:38:29.99,"Foster, Elijah",1000190024,Right,,,Fastball,Live,,93.6405,-1.448109025,-3.721359975,2457.593113,224.4482144,1:30,4.55887,1.61239,7.08656,-19.91294,10.74287,10.5649,1.58225,-0.88906,84.90907,-5.283893887,-1.683622424,0.3984994706,-7.11123,6.51188,-1.39392,50,4.46591,8.58086,-136.18746,-3.9721,-13.21899,32.76152,-20.06919,eed255ae-f366-4b57-aa3f-2830ee16be3f,479077f3-2a46-4a13-9725-954da1e5d09b,94.58592,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
6,2023-03-05,10:38:56.50,"Foster, Elijah",1000190024,Right,,,Fastball,Live,,93.07386,-1.218589101,-3.920856743,2594.070775,206.7515957,1:00,4.5357,1.61046,6.95417,-14.77465,16.63767,8.41149,2.19303,-1.26137,83.66018,-4.071471101,-2.297511785,0.4033865398,-6.0287,9.76686,-1.37046,50,4.45496,9.04555,-135.2601,-3.2792,-10.97115,34.37014,-14.4001,63fbff40-5df1-4573-a464-e575a55fc333,479077f3-2a46-4a13-9725-954da1e5d09b,93.44,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
7,2023-03-05,10:39:19.48,"Foster, Elijah",1000190024,Right,,,ChangeUp,Live,,86.80059,,,2147.768713,,,4.29897,1.60064,6.92164,,,,2.14538,-0.09382,78.92132,-5.389722948,-0.5708284096,0.4304368036,-8.07883,3.05723,-1.41599,50,4.31255,6.35942,-126.34679,0.09625,-12.95664,27.63013,-27.27094,daeec60c-4dae-447e-b6ac-67fc07df5367,479077f3-2a46-4a13-9725-954da1e5d09b,87.56788,LiveBpPitching,21080024,-12.74665385,1000166964,"Richter, Colin",,Undefined,95.28199,Right,-8.110241154,,,,15.53277,15.72288,0.1008285075,-12.01534834,1.94527,2.2736,-0.0882,,,,,
8,2023-03-05,10:39:48.86,"Foster, Elijah",1000190024,Right,,,Fastball,Live,,93.96283,,,2501.632624,,,5.11171,2.23588,6.77472,,,,3.2887,1.0481,83.57263,,,0.4024215673,-12.41506,11.54512,-2.03949,50,5.04458,6.91938,-136.55919,-2.62019,-22.79773,37.79437,-10.97379,97dc9329-a96c-44e6-87c5-994bb0cc8c66,479077f3-2a46-4a13-9725-954da1e5d09b,93.66406,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
9,2023-03-05,10:40:05.75,"Foster, Elijah",1000190024,Right,,,Fastball,Live,,92.11712,-1.222040442,-2.269822949,2572.652275,221.224277,1:15,4.433,1.69381,7.00401,-19.35638,12.49179,10.96636,1.70817,0.54348,83.12702,-4.957365185,-0.1483723696,0.4061754448,-6.91586,7.43635,-1.55903,50,4.35179,5.02768,-134.10449,-3.37089,-12.39647,33.24973,-18.8446,5acbd3e8-d13a-4415-b99f-23311ceb2507,479077f3-2a46-4a13-9725-954da1e5d09b,92.79842,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
10,2023-03-05,10:40:22.41,"Foster, Elijah",1000190024,Right,,,Slider,Live,,84.10035,,,2287.818939,,,4.36811,2.02351,6.19207,,,,,,,,,,-4.92205,-0.17938,-1.898,50,4.23765,3.44963,-122.19218,-4.28674,-7.23938,30.17653,-32.43787,9e4a1c29-e892-4f2e-a046-23ca5863be84,479077f3-2a46-4a13-9725-954da1e5d09b,,LiveBpPitching,21080024,6.388452419,1000166964,"Richter, Colin",,Undefined,38.39919,Right,-27.03243342,,,,3.97115,25.75159,0.01106649673,-21.03515323,3.15563,0.28441,-1.48774,,,,,
11,2023-03-05,10:40:47.16,"Foster, Elijah",1000190024,Right,,,Fastball,Live,,92.11587,0.2809663421,-1.877535534,2385.989559,209.8769367,1:00,4.67088,1.69181,6.85031,-15.15102,17.04565,9.81404,3.66457,0.79744,82.42699,-2.650587798,0.02202493015,0.4083916603,-6.1514,9.47084,-1.57582,50,4.68321,4.12941,-134.08177,0.24735,-10.95221,34.931,-15.31176,8cc8e7cd-4e43-41bb-ab66-e7129279d25c,479077f3-2a46-4a13-9725-954da1e5d09b,92.29483,LiveBpPitching,21080024,,1000166964,"Richter, Colin",,Undefined,,Right,,,,,,,,,,,,,,,,
