tarantulaVideoHostedCFURL,playGuid,gameId,gameString,pitchNumInGame,gameDate,uniqPitchId,playguid,fullName,pitchNumInAB,x,y,pitchOutcome,batterHand,abNumInGame,pitcherHand,batterAbbrevName,pitcherAbbrevName,date,pitchDetails,pitchResult,inn,outs,pitchType,pitchTypeFull,releaseVelocity,exitVelocity,statcastFieldersInitialFielderPosition,probSL,atbatDesc,count,gameVenueId,level,hasKinatraxData,hasMLBPlayDiagram,SessionType,gameResult,home,opponent,team,totalRuns,currentRuns,teamId,opponentId,opponentRuns,opponentCurrentRuns,pitchingTeam,pitchingTeamId,battingTeam,battingTeamId,hang,dist,pathEff,react,speed,jump,wall,infieldDist,infieldTime,outProb,pitcher,batter,battingTeam,battingTeamId,batterId,pitchingTeam,pitchingTeamId,pitcherId,catchingTeam,catchingTeamId,catcherId,catcherAbbrevName,type,Vel,Spin,IndVertBrk,HorzBrk,RelZ,RelX,PZ,PX,reportId
,c0a03e1a-b3d0-329c-9729-75183dd700db,818847,gid_2026_08_21_altaax_binaax_1,203,2026-08-21 19:00:00,818847-58-1,c0a03e1a-b3d0-329c-9729-75183dd700db,Joshua Loeschorn,1,1.190219294117647,1.2604511822890205,Ball,R,58,R,K. Parada,J. Loeschorn,2026-08-21 19:00:00,"0-0 Four Seamer, 90 mph",Ball,Bot 7,0,FF,Four Seamer,89.7,-,,0.03171518975638318,,0-0,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,7,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Parada,BNG,505,691006,ALT,452,700380,ALT,452,699167,S. Escudero,Four Seamer,89.7,2489,14.4,17.3,66.3,-36.5,3.591,-0.843,1435-undefined
,4b60df1c-92b6-35f3-b025-0ed229faa512,818847,gid_2026_08_21_altaax_binaax_1,204,2026-08-21 19:00:00,818847-58-2,4b60df1c-92b6-35f3-b025-0ed229faa512,Joshua Loeschorn,2,-0.3994630588235294,-0.19750053682600113,SL,R,58,R,K. Parada,J. Loeschorn,2026-08-21 19:00:00,"1-0 Four Seamer, 91 mph",Strike Looking,Bot 7,0,FF,Four Seamer,90.8,-,,0.9988957685234597,,1-0,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,7,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Parada,BNG,505,691006,ALT,452,700380,ALT,452,699167,S. Escudero,Four Seamer,90.8,2499,14.4,16.8,64.3,-36.5,2.260,0.283,1435-undefined
,0c5a4526-9dd7-32c8-a4f9-98330c4413e7,818847,gid_2026_08_21_altaax_binaax_1,205,2026-08-21 19:00:00,818847-58-3,0c5a4526-9dd7-32c8-a4f9-98330c4413e7,Joshua Loeschorn,3,0.7462334117647058,0.23284867492325972,B,R,58,R,K. Parada,J. Loeschorn,2026-08-21 19:00:00,"1-1 Cutter, 88 mph",Single on a Line Drive,Bot 7,0,FC,Cutter,87.5,104.5,,0.9977594623230757,Kevin Parada singles on a sharp line drive to left fielder Will Taylor.,1-1,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,7,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Parada,BNG,505,691006,ALT,452,700380,ALT,452,699167,S. Escudero,Cutter,87.5,2570,11.0,-1.2,63.9,-37.4,2.653,-0.529,1435-undefined
,accfa41a-8325-31fd-95f3-11c005fb69f8,818847,gid_2026_08_21_altaax_binaax_1,206,2026-08-21 19:00:00,818847-59-1,accfa41a-8325-31fd-95f3-11c005fb69f8,Joshua Loeschorn,1,-0.4178315294117647,-0.5403297475481663,S,R,59,R,C. Suero,J. Loeschorn,2026-08-21 19:00:00,"0-0 Sweeper, 78 mph",Foul,Bot 7,0,ST,Sweeper,78.1,-,,0.987745883580308,,0-0,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,7,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Suero,BNG,505,801523,ALT,452,700380,ALT,452,699167,S. Escudero,Sweeper,78.1,2573,6.5,-10.1,64.9,-37.1,1.947,0.296,1435-undefined
,447c064b-c073-32b8-a0dc-d875d991d347,818847,gid_2026_08_21_altaax_binaax_1,207,2026-08-21 19:00:00,818847-59-2,447c064b-c073-32b8-a0dc-d875d991d347,Joshua Loeschorn,2,0.34561976470588235,-0.185070448813704,S,R,59,R,C. Suero,J. Loeschorn,2026-08-21 19:00:00,"0-1 Sweeper, 79 mph",Foul,Bot 7,0,ST,Sweeper,78.6,-,,1,,0-1,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,7,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Suero,BNG,505,801523,ALT,452,700380,ALT,452,699167,S. Escudero,Sweeper,78.6,2612,7.9,-16.5,64.2,-37.1,2.272,-0.245,1435-undefined
,9d7baf60-f05c-385d-b724-420394cb5f3d,818847,gid_2026_08_21_altaax_binaax_1,208,2026-08-21 19:00:00,818847-59-3,9d7baf60-f05c-385d-b724-420394cb5f3d,Joshua Loeschorn,3,0.737662588235294,1.1112649307572784,S,R,59,R,C. Suero,J. Loeschorn,2026-08-21 19:00:00,"0-2 Cutter, 87 mph",Strikeout (Swinging),Bot 7,0,FC,Cutter,86.8,-,,0.18322224230505618,Chris Suero strikes out swinging.,0-2,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,7,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Suero,BNG,505,801523,ALT,452,700380,ALT,452,699167,S. Escudero,Cutter,86.8,2510,11.2,-4.2,62.4,-38.1,3.455,-0.523,1435-undefined
,597be4cd-300b-3f48-a04c-924fdefd79b8,818847,gid_2026_08_21_altaax_binaax_1,209,2026-08-21 19:00:00,818847-60-1,597be4cd-300b-3f48-a04c-924fdefd79b8,Joshua Loeschorn,1,-0.572603294117647,-0.09470314536476884,B,R,60,R,J. Bay,J. Loeschorn,2026-08-21 19:00:00,"0-0 Sweeper, 79 mph",Fly Out,Bot 7,1,ST,Sweeper,79.0,101.4,,0.9956427811850802,John Bay flies out sharply to center fielder Lonnie White Jr.,0-0,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,7,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Bay,BNG,505,700083,ALT,452,700380,ALT,452,699167,S. Escudero,Sweeper,79.0,2657,8.1,-19.7,65.5,-36.7,2.430,0.406,1435-undefined
,476d8d69-bb31-3ebb-b988-dabd9c814745,818847,gid_2026_08_21_altaax_binaax_1,210,2026-08-21 19:00:00,818847-61-1,476d8d69-bb31-3ebb-b988-dabd9c814745,Joshua Loeschorn,1,-0.5706945882352941,-0.7511861568372304,SL,L,61,R,C. Collins,J. Loeschorn,2026-08-21 19:00:00,"0-0 Sweeper, 79 mph",Strike Looking,Bot 7,2,ST,Sweeper,78.9,-,,0.9286572530687999,,0-0,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,7,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Collins,BNG,505,690970,ALT,452,700380,ALT,452,699167,S. Escudero,Sweeper,78.9,2562,4.1,-17.4,64.2,-36.1,1.877,0.404,1435-undefined
,274e59f2-927c-3ff1-aaf4-556ce5ad544f,818847,gid_2026_08_21_altaax_binaax_1,211,2026-08-21 19:00:00,818847-61-2,274e59f2-927c-3ff1-aaf4-556ce5ad544f,Joshua Loeschorn,2,1.9643421176470586,0.1549300014195292,Ball,L,61,R,C. Collins,J. Loeschorn,2026-08-21 19:00:00,"0-1 Changeup, 84 mph",Ball,Bot 7,2,CH,Changeup,84.3,-,,0,,0-1,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,7,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Collins,BNG,505,690970,ALT,452,700380,ALT,452,699167,S. Escudero,Changeup,84.3,1882,4.9,13.4,61.9,-35.5,2.745,-1.391,1435-undefined
,b42d18b3-7786-3429-943c-8283688a9fe0,818847,gid_2026_08_21_altaax_binaax_1,212,2026-08-21 19:00:00,818847-61-3,b42d18b3-7786-3429-943c-8283688a9fe0,Joshua Loeschorn,3,-0.23179341176470586,-1.5115593806976677,Ball,L,61,R,C. Collins,J. Loeschorn,2026-08-21 19:00:00,"1-1 Sinker, 90 mph",Ball,Bot 7,2,SI,Sinker,89.5,-,,0.0033750102377622855,,1-1,2820,AAX,false,false,,L,false,BNG,ALT,5,5,452,505,8,7,ALT,452,BNG,505,0,0,,0,0,0,0,0,0,,Loeschorn,Collins,BNG,505,690970,ALT,452,700380,ALT,452,699167,S. Escudero,Sinker,89.5,2338,5.2,16.3,61.7,-37.6,1.149,0.164,1435-undefined
